Country Code,Year,Metric,Value,YoY_Growth_%,Rolling_3Y_Avg,Share_of_G20_%,Rank_in_G20
ARG,2005,Current account balance (% of GDP),2.653631422,,2.653631422,7.245086645,6
ARG,2006,Current account balance (% of GDP),2.794495643,5.308356681,2.724063532,7.897806347,7
ARG,2007,Current account balance (% of GDP),2.103616039,-24.72287281,2.517247701,7.880106411,7
ARG,2008,Current account balance (% of GDP),1.499401416,-28.72266667,2.132504366,7.940681076,6
ARG,2009,Current account balance (% of GDP),2.178566962,45.2957786,1.927194806,32.78456848,7
ARG,2010,Current account balance (% of GDP),-0.3831187,-117.5858124,1.098283226,-13.59338938,9
ARG,2011,Current account balance (% of GDP),-1.007280841,162.9161255,0.262722474,-14.62772302,9
ARG,2012,Current account balance (% of GDP),-0.391595124,-61.12354095,-0.593998222,-13.12626815,8
ARG,2013,Current account balance (% of GDP),-2.377495666,507.1310702,-1.258790544,95.96702363,10
ARG,2014,Current account balance (% of GDP),-1.74400212,-26.6454133,-1.504364303,46.22542147,10
ARG,2015,Current account balance (% of GDP),-2.962926665,69.89237751,-2.361474817,20.08321085,13
ARG,2016,Current account balance (% of GDP),-2.709221684,-8.562648023,-2.472050156,37.6385892,15
ARG,2017,Current account balance (% of GDP),-4.839959218,78.64758899,-3.504035856,107.3140205,19
ARG,2018,Current account balance (% of GDP),-5.160552572,6.62388543,-4.236577824,-215.4345224,19
ARG,2019,Current account balance (% of GDP),-0.779998448,-84.8853696,-3.593503412,-6.490859682,12
ARG,2020,Current account balance (% of GDP),0.696935361,-189.3508652,-1.747871886,6.590808381,11
ARG,2021,Current account balance (% of GDP),1.361544222,95.36162146,0.426160379,4.527534954,10
ARG,2022,Current account balance (% of GDP),-0.640820188,-147.0656904,0.472553132,-5.121983323,11
ARG,2023,Current account balance (% of GDP),-3.243512548,406.150182,-0.840929505,190.6582181,16
ARG,2024,Current account balance (% of GDP),0.992524625,-130.6003017,-0.963936037,34.72391088,6
AUS,2005,Current account balance (% of GDP),-6.230183374,,-6.230183374,-17.00998036,19
AUS,2006,Current account balance (% of GDP),-6.184973241,-0.725662966,-6.207578308,-17.47997749,19
AUS,2007,Current account balance (% of GDP),-7.565036583,22.31316593,-6.660064399,-28.33848581,19
AUS,2008,Current account balance (% of GDP),-4.882061858,-35.46545605,-6.210690561,-25.85491503,17
AUS,2009,Current account balance (% of GDP),-5.231444863,7.156464107,-5.892847768,-78.72636708,19
AUS,2010,Current account balance (% of GDP),-4.005068623,-23.44240018,-4.706191781,-142.1033672,18
AUS,2011,Current account balance (% of GDP),-3.264009301,-18.50303682,-4.166840929,-47.39991275,17
AUS,2012,Current account balance (% of GDP),-4.44404469,36.152942,-3.904374205,-148.9643735,16
AUS,2013,Current account balance (% of GDP),-3.257998884,-26.68843113,-3.655350958,131.5083179,15
AUS,2014,Current account balance (% of GDP),-3.092661633,-5.074809932,-3.598235069,81.97214087,15
AUS,2015,Current account balance (% of GDP),-4.312576111,39.44545582,-3.554412209,29.23135978,17
AUS,2016,Current account balance (% of GDP),-3.616312188,-16.14496545,-3.673849977,50.24058743,18
AUS,2017,Current account balance (% of GDP),-3.00161155,-16.99799701,-3.64349995,66.55324744,16
AUS,2018,Current account balance (% of GDP),-2.561160666,-14.67381362,-3.059694801,-106.9192528,14
AUS,2019,Current account balance (% of GDP),-0.020710514,-99.19136216,-1.86116091,-0.172345268,10
AUS,2020,Current account balance (% of GDP),1.874337483,-9150.173561,-0.235844566,17.72531555,8
AUS,2021,Current account balance (% of GDP),2.610660789,39.28445722,1.488095919,8.681214892,7
AUS,2022,Current account balance (% of GDP),0.337521409,-87.07141845,1.60750656,2.697759934,8
AUS,2023,Current account balance (% of GDP),-0.30008545,-188.9085675,0.882698916,17.63944375,9
AUS,2024,Current account balance (% of GDP),-1.963350749,554.263894,-0.641971597,-68.68869014,16
